Id,SalePrice
2658,214284.07705120664
2718,214284.07705120664
2414,214284.07705120664
1989,136657.45187009382
625,136657.45187009382
333,136657.45187009382
1327,136657.45187009382
858,136657.45187009382
95,214284.07705120664
1568,214284.07705120664
2482,214284.07705120664
1364,136657.45187009382
2584,136657.45187009382
818,369537.3274134323
2673,136657.45187009382
2089,136657.45187009382
1297,214284.07705120664
790,136657.45187009382
2616,214284.07705120664
720,136657.45187009382
222,136657.45187009382
557,136657.45187009382
1148,214284.07705120664
2766,136657.45187009382
534,136657.45187009382
1452,136657.45187009382
630,214284.07705120664
2648,136657.45187009382
125,136657.45187009382
1904,136657.45187009382
1670,136657.45187009382
756,136657.45187009382
717,136657.45187009382
1032,136657.45187009382
852,214284.07705120664
1731,214284.07705120664
2639,136657.45187009382
2071,136657.45187009382
1267,136657.45187009382
1851,214284.07705120664
567,214284.07705120664
2439,214284.07705120664
1898,136657.45187009382
647,136657.45187009382
2256,214284.07705120664
979,136657.45187009382
1444,214284.07705120664
2485,136657.45187009382
157,136657.45187009382
88,136657.45187009382
2003,136657.45187009382
186,291910.70223231945
1425,214284.07705120664
2695,136657.45187009382
738,136657.45187009382
395,136657.45187009382
1353,214284.07705120664
1878,136657.45187009382
390,214284.07705120664
1456,214284.07705120664
1103,214284.07705120664
1387,136657.45187009382
2070,136657.45187009382
1199,136657.45187009382
2479,214284.07705120664
501,214284.07705120664
2362,136657.45187009382
1718,136657.45187009382
2188,136657.45187009382
1483,136657.45187009382
2557,136657.45187009382
437,214284.07705120664
2224,136657.45187009382
1628,214284.07705120664
397,136657.45187009382
587,136657.45187009382
971,136657.45187009382
2611,136657.45187009382
1887,136657.45187009382
2399,214284.07705120664
2148,214284.07705120664
304,136657.45187009382
1997,136657.45187009382
2817,214284.07705120664
1431,214284.07705120664
427,214284.07705120664
263,136657.45187009382
598,214284.07705120664
2895,214284.07705120664
687,136657.45187009382
1822,136657.45187009382
2191,136657.45187009382
179,136657.45187009382
1009,214284.07705120664
2010,214284.07705120664
1991,136657.45187009382
1411,136657.45187009382
1721,214284.07705120664
1144,214284.07705120664
593,214284.07705120664
575,214284.07705120664
1249,214284.07705120664
1604,136657.45187009382
1064,136657.45187009382
1923,136657.45187009382
1988,136657.45187009382
2325,214284.07705120664
114,291910.70223231945
2700,214284.07705120664
217,214284.07705120664
343,214284.07705120664
386,214284.07705120664
2005,214284.07705120664
2908,136657.45187009382
1814,214284.07705120664
2446,291910.70223231945
208,214284.07705120664
1679,214284.07705120664
822,214284.07705120664
6,214284.07705120664
1781,214284.07705120664
2397,214284.07705120664
2340,214284.07705120664
1618,214284.07705120664
2843,136657.45187009382
1061,214284.07705120664
2786,136657.45187009382
1935,136657.45187009382
1341,136657.45187009382
521,214284.07705120664
2136,214284.07705120664
996,214284.07705120664
227,136657.45187009382
135,136657.45187009382
1167,214284.07705120664
294,136657.45187009382
1776,214284.07705120664
540,136657.45187009382
1717,136657.45187009382
2303,136657.45187009382
116,136657.45187009382
127,136657.45187009382
1371,136657.45187009382
1014,136657.45187009382
1507,136657.45187009382
702,214284.07705120664
750,214284.07705120664
261,136657.45187009382
1559,136657.45187009382
577,136657.45187009382
2812,214284.07705120664
2080,136657.45187009382
1368,136657.45187009382
2376,136657.45187009382
659,136657.45187009382
1235,136657.45187009382
332,136657.45187009382
1917,136657.45187009382
2094,214284.07705120664
1460,214284.07705120664
1471,214284.07705120664
1509,136657.45187009382
1922,136657.45187009382
433,214284.07705120664
460,214284.07705120664
1116,214284.07705120664
1137,136657.45187009382
53,214284.07705120664
2354,214284.07705120664
1475,214284.07705120664
1761,291910.70223231945
842,136657.45187009382
2739,214284.07705120664
2509,214284.07705120664
1007,214284.07705120664
2610,136657.45187009382
1952,136657.45187009382
2719,214284.07705120664
2921,136657.45187009382
1966,136657.45187009382
292,136657.45187009382
1204,214284.07705120664
1829,214284.07705120664
2419,214284.07705120664
391,214284.07705120664
798,136657.45187009382
481,214284.07705120664
193,136657.45187009382
555,136657.45187009382
899,136657.45187009382
2357,214284.07705120664
328,136657.45187009382
1356,136657.45187009382
1154,136657.45187009382
1730,214284.07705120664
2249,136657.45187009382
1119,214284.07705120664
2856,214284.07705120664
1394,136657.45187009382
2587,136657.45187009382
61,214284.07705120664
2661,214284.07705120664
2711,136657.45187009382
1147,214284.07705120664
757,136657.45187009382
2623,136657.45187009382
2378,214284.07705120664
1413,136657.45187009382
1722,214284.07705120664
1112,214284.07705120664
1623,214284.07705120664
1201,214284.07705120664
1513,136657.45187009382
957,214284.07705120664
1171,214284.07705120664
1145,214284.07705120664
2726,136657.45187009382
703,136657.45187009382
760,136657.45187009382
1964,136657.45187009382
2512,214284.07705120664
159,59030.826688980975
1281,136657.45187009382
468,214284.07705120664
290,136657.45187009382
665,136657.45187009382
1463,214284.07705120664
1792,214284.07705120664
923,136657.45187009382
500,214284.07705120664
1408,136657.45187009382
331,136657.45187009382
170,136657.45187009382
2192,136657.45187009382
2571,214284.07705120664
2314,214284.07705120664
2647,136657.45187009382
422,291910.70223231945
2457,136657.45187009382
1838,214284.07705120664
2805,214284.07705120664
1645,214284.07705120664
1711,214284.07705120664
2825,214284.07705120664
322,214284.07705120664
2103,214284.07705120664
342,136657.45187009382
600,136657.45187009382
488,214284.07705120664
1725,214284.07705120664
2246,214284.07705120664
2847,136657.45187009382
806,214284.07705120664
530,214284.07705120664
963,214284.07705120664
2678,136657.45187009382
